Date,GMVP,Tangent Portfolio,Benchmark
2019-08-01,0.978179803787407,1.0008327070151426,0.9819083727594761
2019-09-01,0.9700313181490431,1.010040837086272,0.9987787152238157
2019-10-01,1.0583944094540647,1.0862654904947486,1.0191855327272208
2019-11-01,1.1220021686262966,1.1386048659719639,1.053885780998057
2019-12-01,1.2015148886518388,1.2485585422753176,1.0840161846241154
2020-01-01,1.2398154097082632,1.3286354156355726,1.082251305658196
2020-02-01,1.1663379032581442,1.2809432138555263,0.9912226249209918
2020-03-01,1.1232758562426575,1.2878048749057431,0.8672015613833831
2020-04-01,1.2943067579289922,1.480741518205434,0.9772009093324864
2020-05-01,1.3394617761666672,1.5603568561605325,1.0214503446858996
2020-06-01,1.387147047703975,1.6792971353065274,1.0402331786432684
2020-07-01,1.4680562840415519,1.7369966120749385,1.0975514014343148
2020-08-01,1.6315139438712352,1.9470546901371708,1.1744509747833236
2020-09-01,1.575765851948987,1.8922924917300206,1.1283796469685035
2020-10-01,1.5034655960511065,1.7557171389560693,1.0971621368789168
2020-11-01,1.681317081378516,1.953294421122864,1.2151571360745022
2020-12-01,1.7882372005498821,2.122530151085675,1.2602655419935516
2021-01-01,1.846268388663948,2.3307945833953845,1.2462303921905922
2021-02-01,1.849288446194499,2.328465148526391,1.2787463518735314
2021-03-01,1.9187774786017677,2.2778322254281904,1.3330145984038178
2021-04-01,2.046616556215735,2.3936752334996667,1.4028983170861244
2021-05-01,2.104316484682583,2.5039547757103153,1.4105953028088312
2021-06-01,2.2008530934245476,2.818178566718067,1.441930280358948
2021-07-01,2.2677256341998016,2.9119157246395018,1.4747313894352672
2021-08-01,2.367270027746188,3.122626291524222,1.517484466279957
2021-09-01,2.216987663683138,2.881716033362058,1.445298991549223
2021-10-01,2.502486635843501,3.2736394698364744,1.545232508570864
2021-11-01,2.4997384338564506,3.4190095824190427,1.5323549948573163
2021-12-01,2.6726146924758534,3.5602320674692285,1.5991854606411913
2022-01-01,2.519904513353029,3.2041506198261596,1.5150920292839654
2022-02-01,2.486932350681949,3.156831849517659,1.4675779979022958
2022-03-01,2.724607260949257,3.5249691798310434,1.520078088828991
2022-04-01,2.5232905929796705,3.1672067144332576,1.386377018449763
2022-05-01,2.4961629196646107,3.215709161629519,1.3864507427973762
2022-06-01,2.376956638632502,3.0437244266911767,1.2700997965535663
2022-07-01,2.603742804670968,3.344602865649514,1.3858267071528012
2022-08-01,2.4411650949390062,3.0543978926683573,1.3270120439370894
2022-09-01,2.329404681280771,2.9265121756601657,1.203074862323876
2022-10-01,2.45327466415147,3.0965657846077037,1.2991565279305504
2022-11-01,2.548202869605461,3.317321097794569,1.3689899502245966
2022-12-01,2.388290091887033,3.0764636435844133,1.2882585948663603
2023-01-01,2.5056389153186296,3.364076427707601,1.367812244729446
2023-02-01,2.4706714784753396,3.3757728718150433,1.3320952557890813
2023-03-01,2.635727227134807,3.7763205447932013,1.378787342610805
2023-04-01,2.783649306072837,4.048107808630242,1.3989760179612167
2023-05-01,2.9607286926646554,4.610688522991781,1.4024487623975679
2023-06-01,3.135631463724099,5.033142597224282,1.4932257154456439
2023-07-01,3.245924454829429,5.158113707642062,1.5397231699896685
2023-08-01,3.3262887529616987,5.639199497474462,1.5124448337089997
2023-09-01,3.2827461959889748,5.3829557516632525,1.4387594780840451
2023-10-01,3.314010342049188,5.364832206965739,1.4071359925869351
2023-11-01,3.5557954576045177,5.86701552779601,1.5326233514826297
2023-12-01,3.5441370221083806,5.951122991464701,1.6004101039709904
2024-01-01,3.664723231878613,6.470559999230331,1.625849755022185
2024-02-01,3.9270967956926404,7.430857836774992,1.709939745909856
2024-03-01,3.9906234197291517,7.723225664879916,1.7629799905567314
2024-04-01,3.9003813446715134,7.6033105267825425,1.689613451777233
2024-05-01,4.109994494910266,8.293253428533589,1.7707507006270513
2024-06-01,4.338427053448893,9.070591170798238,1.8321422755396717
2024-07-01,4.4718899555334755,8.668027393758678,1.8528845388247173
