Date,AAPL,AMZN,BRK-B,GOOGL,LLY,META,MSFT,NVDA,TSLA,UNH
2019-08-01,-0.020183959987829625,-0.048473822697145064,-0.009832980020886728,-0.02271387338815556,0.03689761001673708,-0.04407140607384752,0.011667841327614559,-0.007171788297850923,-0.06622236595163389,-0.06027877493166245
2019-09-01,0.0770382697652452,-0.022732743159706414,0.022663588453640582,0.025711209083992825,-0.004541686804771516,-0.04087896385079415,0.011844634209210447,0.04019072048242189,0.0676388894701141,-0.07128205178650782
2019-10-01,0.11068441462450584,0.023474701269111886,0.021920956950953308,0.030840080896322064,0.018957336619148002,0.0762016389509903,0.03121656254711125,0.15482274132313045,0.3074272210164204,0.1682850229795374
2019-11-01,0.0743288661652397,0.013587301227403925,0.036315745386240605,0.03597873574771637,0.029837763566779918,0.05212635141070243,0.05586970532469371,0.0782011190451517,0.047694647129001844,0.10751861907667415
2019-12-01,0.1020825121844724,0.026121694264473083,0.028143426519996684,0.027068580586356195,0.12642440962513612,0.017903133099476998,0.04529400404605788,0.08643345852142947,0.2678971533628465,0.05041627256661352
2020-01-01,0.05400989427383429,0.0870638027865227,-0.0091391051841887,0.06972588104856392,0.06246673420406457,-0.01627281164872907,0.07945479753795293,0.004802435376044301,0.5551598573434691,-0.06967295700272669
2020-02-01,-0.11679774694178757,-0.06221372013363058,-0.08060418361294519,-0.06527873720973099,-0.09674883844686744,-0.04675349281853158,-0.048287623252237344,0.1422829671847281,0.02677646887053875,-0.06419563773956194
2020-03-01,-0.06755347838244752,0.035020571318223226,-0.1139381357181829,-0.13238750488060302,0.10551841134905304,-0.1333714971273483,-0.023882736712054764,-0.023372720414502113,-0.2155570713684315,-0.021885610043557047
2020-04-01,0.15537361899440394,0.2689001176660717,0.024777108428204464,0.1589998772058574,0.11476348062028063,0.22727829815912326,0.1363261388357091,0.10880109083820066,0.492137319488021,0.17786823311031674
2020-05-01,0.0821649258446775,-0.012784941240091774,-0.009500420439252144,0.0644687863523985,-0.010928590354257528,0.09955541241300381,0.022543444938203816,0.21465738474158336,0.06793886833783369,0.042329397186335216
2020-06-01,0.15049229785932106,0.12956672853391127,-0.0380968167607576,-0.010791727617387448,0.07847594787045509,0.008796537412897099,0.11365209762004658,0.07010876831314228,0.2931856328270819,-0.03247497491394924
2020-07-01,0.16513147158073171,0.1471136218500213,0.09674530728754016,0.04929310270161258,-0.08460226138761229,0.11714437452725424,0.0073706453109476655,0.1181167520167754,0.3250108843981532,0.030967843477370804
2020-08-01,0.21437969034512516,0.09046103369298208,0.11369902260511133,0.09515115115115114,-0.012642031034693968,0.15583242477708836,0.10009277288992657,0.2599919926547971,0.7414521252787116,0.03226768640814437
2020-09-01,-0.1009079932608885,-0.08757859185260553,-0.02339016236362601,-0.10059964117526066,0.0023687705353188093,-0.106753060506108,-0.06514230407722021,0.011663989395905183,-0.13908741409927106,-0.0024955183056041275
2020-10-01,-0.060012043921416125,-0.03575408533520552,-0.051845629841014484,0.10269508528556281,-0.11863243916299038,0.004619970715781907,-0.03737018764472877,-0.07337135925161264,-0.09549891131606025,-0.017232709645125133
2020-11-01,0.09360642831109822,0.043439868865324804,0.1337791509764643,0.08556973516702016,0.11643389046659225,0.05267769630703811,0.057292659311470207,0.06921182093134037,0.4627358021475634,0.10224833001740374
2020-12-01,0.11649664185615771,0.028058383014484267,0.012930808648482284,-0.0010030950532697869,0.1651737278094798,-0.01375599651148196,0.041726144667123544,-0.02585533354329972,0.24325228028976542,0.04263537400980577
2021-01-01,-0.005501508559625057,-0.01557601223652838,-0.01725104620793383,0.04263268291853839,0.2317577680014895,-0.054290538055702164,0.04289173161684534,-0.0047041654614611295,0.12450585757436827,-0.04534002101221213
2021-02-01,-0.0810853110759453,-0.03532841376742368,0.05547022276078084,0.1064651338812379,-0.014809860910612538,-0.0027483552129256017,0.0018106886321898052,0.05579408901311611,-0.14874045049393914,-0.004076830337971682
2021-03-01,0.008845021525270225,0.00037178414851712915,0.062201185212874766,0.02008499955309917,-0.08438572532088917,0.1432729597581115,0.016924898002351085,-0.02670531579568458,-0.011206569460841198,0.1199504931185087
2021-04-01,0.07621749275843648,0.12066273709568343,0.07625165731102479,0.14107980810337506,-0.021678773375574112,0.10372452840806501,0.06960178901476444,0.12484263300451848,0.06214724771921731,0.07564917316517294
2021-05-01,-0.05210694533535165,-0.07047025525869377,0.05270045314078531,0.0014233865084067876,0.09284905527040155,0.011228107077303706,-0.009913666243372754,0.08228105833698995,-0.11871335524117277,0.032898738870322575
2021-06-01,0.10097632154068137,0.06735498737093981,-0.039800956731970594,0.036039653503386226,0.1541717564932179,0.057737330269071796,0.08749402500818548,0.23133991726552683,0.08713734718910104,-0.02786949521136839
2021-07-01,0.06498235860079049,-0.032722282722282725,0.001331300731545637,0.10350603127969737,0.06090963453393328,0.024704504574862618,0.051716726296886284,-0.024948429395736493,0.01103427987887895,0.033187913321403695
2021-08-01,0.040929709056070074,0.043034169499993835,0.02687836515532882,0.07400915762835969,0.06073924221580884,0.06477682826013509,0.059562662089583496,0.1480074025113074,0.07060538379906944,0.009824762697313139
2021-09-01,-0.06664044839990291,-0.05351810876292584,-0.04489619997029082,-0.07616925379412043,-0.10257456762249972,-0.10540874074945816,-0.06433112350223424,-0.0743955958032636,0.05404233150359361,-0.0613302612062816
2021-10-01,0.058657228706616715,0.02660245759664326,0.05154981753632559,0.10749876550574489,0.102618598975738,-0.04661315589396098,0.17629102111354555,0.2341668893046438,0.436529595729082,0.18259260173878533
2021-11-01,0.10347140339730143,0.039923701306487036,-0.03595695959400913,-0.041530994033774915,-0.026377829208139136,0.002750591201321484,-0.003106013379343353,0.2780538194136988,0.02761218887377903,-0.035289912088792064
2021-12-01,0.07579642906349915,-0.04925196878828486,0.08063174441338283,0.020821351973261404,0.1172266052606068,0.0366455477996348,0.01919401481335581,-0.09992043844450849,-0.07685451947850863,0.1303857761153353
2022-01-01,-0.015712244109391538,-0.10282991021845667,0.046889595363451164,-0.06591899421839253,-0.11161390640290914,-0.06864877126516566,-0.07534512887744194,-0.16735232360435148,-0.11360931817914044,-0.05581849403891881
2022-02-01,-0.05526949462661135,0.026672518265588474,0.02693126154633907,-0.0018218183522005216,0.018582686311541696,-0.32634234403793183,-0.03919851052050394,-0.004125013593759386,-0.0707681586632628,0.006983099344039179
